pub_year,std_prev,std_lo95,std_hi95,L_star,target
2010,0.0016763755248274555,0.001674838134469521,0.0016779143240359194,250,title
2011,0.0017416914521686776,0.0017402144909307781,0.0017431696647496188,250,title
2012,0.0018095476442058238,0.0018081335141053496,0.0018109628782822307,250,title
2013,0.0018800425304288805,0.001878692206971737,0.0018813938226112314,250,title
2014,0.001953278325148788,0.0019519906804871209,0.0019545668175510325,250,title
2015,0.0020293611707191453,0.0020281320652234553,0.0020305910195719847,250,title
2016,0.002108401285993213,0.0021072224232516336,0.002109580806842563,250,title
2017,0.002190513120192721,0.0021893707699328258,0.0021916560651887053,250,title
2018,0.002275815512369795,0.0022746894130286402,0.002276942167921282,250,title
2019,0.0023644318566479676,0.0023632948408396754,0.002365569418194126,250,title
2020,0.0024564902734330856,0.002455309147482056,0.0024576719661646685,250,title
2021,0.0025521237867895843,0.0025508614687730917,0.0025533867278770286,250,title
2022,0.0026514705081824284,0.0026500886577062346,0.002652853077288024,250,title
2023,0.0027546738267896363,0.0027531349522714184,0.0027562135590898803,250,title
2024,0.0028618826065949453,0.00286015113854883,0.002863615119820759,250,title
2025,0.002973251390474813,0.0029712938465899686,0.002975210220177668,250,title
