pub_year,country_primary,n_docs,n_pos,prevalence,prev_lo95,prev_hi95
2010,Australia,8556,58,0.006778868630201029,0.005247910409019189,0.008752519318239442
2010,Austria,2271,8,0.0035226772346983706,0.001786072775850109,0.006936055416318579
2010,Belgium,3523,25,0.00709622480840193,0.0048112838576782,0.01045491380086289
2010,Brazil,6998,11,0.0015718776793369534,0.0008779602243698822,0.0028127058629263233
2010,Canada,13367,68,0.005087154933792175,0.004015124756607447,0.006443563221361304
2010,China,28369,75,0.0026437308329514612,0.002109796616803913,0.003312341276715635
2010,Czechia,1463,7,0.004784688995215311,0.002319616339556705,0.009843565109540212
2010,Denmark,3013,10,0.003318951211417192,0.0018038130402937762,0.006098975073077592
2010,Finland,2211,10,0.004522840343735866,0.0024585904148619383,0.008305818353876143
2010,France,12509,61,0.00487648892797186,0.0037984953121948948,0.006258489684764729
2010,Germany,19998,81,0.004050405040504051,0.0032603168217411856,0.005030992714039533
2010,Greece,2338,11,0.004704875962360992,0.0026291779903014315,0.008405496762492201
2010,Hong Kong,592,5,0.008445945945945946,0.003612844355580295,0.019617259249646378
2010,India,9426,79,0.008381073626140462,0.006730477347337801,0.01043221404333317
2010,Iran,2381,11,0.004619907601847963,0.0025816611751732347,0.00825405233740246
2010,Ireland,1605,10,0.006230529595015576,0.003387813831995742,0.011431209316606038
2010,Israel,2995,22,0.007345575959933222,0.004855969857645268,0.011097343939579597
2010,Italy,13068,60,0.004591368227731864,0.0035689318651497175,0.005904978846728423
2010,Japan,22055,29,0.0013148945817274993,0.000915709362309002,0.001887767825563234
2010,Mexico,1482,7,0.004723346828609987,0.0022898539662287287,0.009717792418100064
2010,Netherlands,8208,32,0.003898635477582846,0.0027630431857667923,0.005498375298856127
2010,New Zealand,1645,5,0.00303951367781155,0.0012989759471460902,0.007095681250880696
2010,Norway,2121,4,0.001885902876001886,0.0007336276290493349,0.0048392393589970295
2010,Poland,2635,4,0.0015180265654648956,0.0005904843113665001,0.0038968860007499795
2010,Portugal,1863,13,0.006977992485238862,0.004082529562079823,0.011902469420932543
2010,Russia,1566,2,0.001277139208173691,0.000350307532045035,0.004644756636144811
2010,Saudi Arabia,765,6,0.00784313725490196,0.0035993942598852476,0.017004930128387108
2010,Singapore,2015,9,0.004466501240694789,0.00235163040695176,0.008467177937440378
2010,South Africa,1166,5,0.004288164665523156,0.0018329965202456798,0.00999891345039903
2010,South Korea,10643,20,0.001879169407122052,0.001216846755410666,0.0029009433882917508
2010,Spain,9644,32,0.0033181252592285357,0.0023514582217985342,0.004680317653692141
2010,Sweden,4794,17,0.0035460992907801418,0.002215249994651855,0.005671934095419251
2010,Switzerland,4734,24,0.005069708491761723,0.0034092691023518613,0.007532730386503575
2010,Taiwan,4759,10,0.002101281781886951,0.0011417993081576172,0.0038639223869326497
2010,Turkey,3829,5,0.0013058239749281796,0.0005578948916600812,0.0030533838344244894
2010,UNKNOWN,32119,184,0.005728696410224478,0.004960372387160609,0.006615236803494884
2010,United Arab Emirates,134,1,0.007462686567164179,0.001318564353840538,0.041059533430896106
2010,United Kingdom,26333,165,0.006265902100026583,0.005382199879654391,0.007293635198848709
2010,United States,110241,704,0.00638600883518836,0.005932683484757863,0.006873733941567279
2011,Australia,11467,68,0.005930060172669399,0.0046807707380500845,0.007510266800278082
2011,Austria,3298,16,0.004851425106124924,0.0029884866357205095,0.007866504213384487
2011,Belgium,4750,39,0.008210526315789474,0.0060121299044537755,0.011203727950636932
2011,Brazil,9444,32,0.0033883947479881405,0.002401276595940854,0.00477935393394129
2011,Canada,17167,103,0.005999883497407817,0.004950033172646421,0.007270769128972766
2011,China,41181,97,0.002355455185643865,0.0019314056511737184,0.0028723389260273137
2011,Czechia,1874,5,0.0026680896478121665,0.0011401702930089385,0.006230770824345409
2011,Denmark,4299,16,0.0037217957664573155,0.002292252590131347,0.006037466076871879
2011,Finland,2854,8,0.002803083391730904,0.0014210533132243434,0.00552175968273584
2011,France,16094,81,0.005032931527277246,0.004051535390304122,0.0062505575483626655
2011,Germany,26055,101,0.003876415275379006,0.003191544177324258,0.004707558288377207
2011,Greece,3134,11,0.0035098915124441607,0.001961025202806009,0.006274400060013423
2011,Hong Kong,816,11,0.013480392156862746,0.0075436372485507275,0.023976431104501247
2011,India,13984,120,0.008581235697940504,0.00718170905164911,0.010250677463350198
2011,Iran,3905,16,0.00409731113956466,0.0025236715117486746,0.006645658889159314
2011,Ireland,2336,9,0.003852739726027397,0.0020282786595988834,0.007306310544450205
