pub_year,lexeme,target,n_docs,n_pos,prevalence,prev_lo95,prev_hi95,std_prev,std_lo95,std_hi95,L_star
2013,ammunition,title,616976,6,9.724851533933249e-06,4.456994065425797e-06,2.121881858874086e-05,1.0268015561446416e-05,1.0201746837833336e-05,1.0334714750391883e-05,250
2014,ammunition,title,668201,3,4.4896670313274e-06,1.5268930987904222e-06,1.3201313298529766e-05,1.0354360200802363e-05,1.0293166696777663e-05,1.0415917500152723e-05,250
2015,ammunition,title,692692,5,7.21821531070086e-06,3.0831939458441928e-06,1.689882123638059e-05,1.0441430912188013e-05,1.0384933475907525e-05,1.049823570978221e-05,250
2016,ammunition,title,744227,7,9.40573239078937e-06,4.556229762476757e-06,1.9416787514960702e-05,1.052923380101466e-05,1.0476897714369105e-05,1.0581831323540891e-05,250
2017,ammunition,title,767947,7,9.115212377937539e-06,4.415498780109591e-06,1.881705447395286e-05,1.0617775024030765e-05,1.0568869794748644e-05,1.0666906549594801e-05,250
2018,ammunition,title,826130,9,1.0894169198552287e-05,5.731643432716317e-06,2.070651673528454e-05,1.0707060789753601e-05,1.0660629509727042e-05,1.0753694294290373e-05,250
2019,ammunition,title,885697,18,2.032297727100803e-05,1.2855855899484231e-05,3.2127119113921e-05,1.079709735890443e-05,1.075195760675535e-05,1.0842426618416338e-05,250
2020,ammunition,title,1023857,8,7.81359115579617e-06,3.9593461677465975e-06,1.5419712017957187e-05,1.0887891044847538e-05,1.0842689486264737e-05,1.0933281039939749e-05,250
2021,ammunition,title,1172890,7,5.968164107461058e-06,2.891036027428206e-06,1.2320450460132591e-05,1.0979448214032776e-05,1.0932768257598083e-05,1.102632747902817e-05,250
2022,ammunition,title,1221578,14,1.1460586225357693e-05,6.827129768081454e-06,1.9238630003420107e-05,1.1071775286441892e-05,1.1022261094396377e-05,1.1121511903625636e-05,250
2023,ammunition,title,1176462,13,1.1050080665588859e-05,6.458021461303214e-06,1.8907320879355517e-05,1.1164878736038621e-05,1.111132701074679e-05,1.1218688554275225e-05,250
2024,ammunition,title,1227755,8,6.51595798836087e-06,3.3018015944651574e-06,1.2858911854047698e-05,1.1258765091222542e-05,1.120016239824108e-05,1.1317674408039814e-05,250
2025,ammunition,title,1127750,12,1.0640656173797384e-05,6.0871391377638294e-06,1.8600392659671188e-05,1.1353440935286765e-05,1.1288957105735704e-05,1.1418293099729613e-05,250
2010,ammunition,abstract,387434,15,3.8716271674659426e-05,2.3463718426311628e-05,6.388308975657209e-05,5.1408713519704766e-05,5.118385320270467e-05,5.163456163946118e-05,250
2011,ammunition,abstract,509457,16,3.1405987158877e-05,1.9332470109315656e-05,5.101927413478276e-05,5.228089761060006e-05,5.2070134352363607e-05,5.249251392634589e-05,250
2012,ammunition,abstract,552351,19,3.4398416948643165e-05,2.202268553960702e-05,5.372836374998902e-05,5.316787811613369e-05,5.297128369578898e-05,5.3365202126187656e-05,250
2013,ammunition,abstract,616976,26,4.2141023313710746e-05,2.8759679446680552e-05,6.174807310591426e-05,5.406990602735975e-05,5.3887397656139206e-05,5.425303249297317e-05,250
2014,ammunition,abstract,668201,28,4.190355895905573e-05,2.8993248806186904e-05,6.056231126735077e-05,5.498723659196368e-05,5.4818510894592524e-05,5.515648158090604e-05,250
2015,ammunition,abstract,692692,27,3.897836267778464e-05,2.678969874892936e-05,5.671225890521179e-05,5.592012938641988e-05,5.57645687661208e-05,5.6076123933673934e-05,250
2016,ammunition,abstract,744227,40,5.374704223308211e-05,3.947328117283575e-05,7.318189804057928e-05,5.686884838937147e-05,5.6725392482874214e-05,5.701266706856792e-05,250
2017,ammunition,abstract,767947,48,6.250431344871456e-05,4.714748617154676e-05,8.286273509604444e-05,5.7833662056253854e-05,5.770064450645198e-05,5.7966986234222524e-05,250
2018,ammunition,abstract,826130,46,5.568130923704502e-05,4.174859414716241e-05,7.426342958431116e-05,5.8814843395180656e-05,5.868981845531454e-05,5.894013465575857e-05,250
2019,ammunition,abstract,885697,58,6.54851489843592e-05,5.066214308814616e-05,8.464478359751168e-05,5.981267004411614e-05,5.969230153921564e-05,5.993328125549971e-05,250
2020,ammunition,abstract,1023857,55,5.3718439196098675e-05,4.1274437592448874e-05,6.991397220989318e-05,6.0827424349353764e-05,6.0707555218046804e-05,6.0947530151908726e-05,250
2021,ammunition,abstract,1172890,50,4.262974362472184e-05,3.233840793518492e-05,5.619599743908007e-05,6.185939344532347e-05,6.173537262752431e-05,6.198366339436058e-05,250
2022,ammunition,abstract,1221578,68,5.566570452316594e-05,4.391451098430889e-05,7.056120736272759e-05,6.29088693357517e-05,6.27760411940278e-05,6.304197851149047e-05,250
2023,ammunition,abstract,1176462,48,4.0800297842174246e-05,3.0775909075429405e-05,5.40896733344181e-05,6.39761489761939e-05,6.383027305774589e-05,6.412235825400206e-05,250
2024,ammunition,abstract,1227755,50,4.072473742725544e-05,3.0893287144751936e-05,5.368477111407511e-05,6.506153435796627e-05,6.489898156953237e-05,6.522449426658642e-05,250
2025,ammunition,abstract,1127750,53,4.699623143427178e-05,3.5933030655367645e-05,6.146540398761019e-05,6.616533259349762e-05,6.598308090878963e-05,6.634808764167667e-05,250
2010,armed_with,any,387434,33,8.517579768425074e-05,6.0653367171555764e-05,0.00011961157173508254,9.984930997529714e-05,9.939202656611622e-05,0.00010030869704556728,250
2011,armed_with,any,509457,39,7.655209369976269e-05,5.600319444927858e-05,0.00010464008205131446,9.88221711649878e-05,9.840246718567605e-05,9.924366507855278e-05,250
2012,armed_with,any,552351,60,0.00010862657983782051,8.439993625854619e-05,0.0001398064063411082,9.780559738451522e-05,9.742212851358824e-05,9.819057550120638e-05,250
2013,armed_with,any,616976,68,0.00011021498405124348,8.694871914462113e-05,0.00013970610719467284,9.679947998437028e-05,9.645076127005611e-05,9.714945937226684e-05,250
2014,armed_with,any,668201,49,7.333122817834753e-05,5.547353329440151e-05,9.693700386715883e-05,9.580371143195015e-05,9.548806351355797e-05,9.61204026643125e-05,250
2015,armed_with,any,692692,70,0.00010105501434981204,7.999356902800696e-05,0.00012766100345760714,9.481818530008421e-05,9.453365921433352e-05,9.510356766701875e-05,250
2016,armed_with,any,744227,55,7.39021830704879e-05,5.678268553333626e-05,9.61825672873413e-05,9.384279625567994e-05,9.358706962243509e-05,9.40992215960957e-05,250
2017,armed_with,any,767947,58,7.552604541719676e-05,5.84302727062958e-05,9.762328222313169e-05,9.287744004848383e-05,9.264767903773096e-05,9.310777080050798e-05,250
2018,armed_with,any,826130,76,9.199520656555264e-05,7.350785096795647e-05,0.00011513162970687338,9.192201349995746e-05,9.171470484666024e-05,9.212979070317795e-05,250
2019,armed_with,any,885697,73,8.24209633768659e-05,6.555902455293657e-05,0.00010361938400981601,9.097641449226922e-05,9.078719994805395e-05,9.116602335285868e-05,250
2020,armed_with,any,1023857,81,7.911261045243622e-05,6.365853795182866e-05,9.831802380865369e-05,9.004054195739731e-05,8.986414070122273e-05,9.021728945396716e-05,250
2021,armed_with,any,1172890,94,8.014391801447707e-05,6.549791971513439e-05,9.806458870599071e-05,8.911429586634474e-05,8.894465051800195e-05,8.92842647526885e-05,250
2022,armed_with,any,1221578,97,7.940549027569259e-05,6.50981864959844e-05,9.685695404902452e-05,8.819757721846631e-05,8.802831242829967e-05,8.836716744980533e-05,250
2023,armed_with,any,1176462,94,7.99005832742579e-05,6.529905217360525e-05,9.776684575574747e-05,8.729028803090362e-05,8.711536695452111e-05,8.746556030487139e-05,250
