pub_year,country_primary,n_docs,n_pos,prevalence,prev_lo95,prev_hi95
2010,Australia,8556,58,0.006778868630201029,0.005247910409019189,0.008752519318239442
2010,Austria,2271,8,0.0035226772346983706,0.001786072775850109,0.006936055416318579
2010,Belgium,3523,23,0.006528526823729776,0.004354305994360352,0.009777732375564029
2010,Brazil,6998,11,0.0015718776793369534,0.0008779602243698822,0.0028127058629263233
2010,Canada,13367,63,0.004713099423954515,0.003685803914550639,0.006024987976937852
2010,China,28369,73,0.0025732313440727556,0.0020472541153750716,0.0032339038905359174
2010,Czechia,1463,5,0.003417634996582365,0.001460665915584118,0.007975567794241845
2010,Denmark,3013,8,0.002655160969133754,0.0013460293617623374,0.005230868725699739
2010,Finland,2211,9,0.004070556309362279,0.0021430248590447467,0.007718384739240334
2010,France,12509,58,0.004636661603645375,0.0035887435556879554,0.0059887340472280556
2010,Germany,19998,75,0.0037503750375037503,0.002993238008505445,0.004698126765953907
2010,Greece,2338,11,0.004704875962360992,0.0026291779903014315,0.008405496762492201
2010,Hong Kong,592,5,0.008445945945945946,0.003612844355580295,0.019617259249646378
2010,India,9426,78,0.008274984086569064,0.006635942740016625,0.010314656007449916
2010,Iran,2381,10,0.004199916001679967,0.0022829317088607745,0.007714151632890482
2010,Ireland,1605,10,0.006230529595015576,0.003387813831995742,0.011431209316606038
2010,Israel,2995,21,0.007011686143572621,0.004590710256252737,0.01069567932124812
2010,Italy,13068,54,0.004132231404958678,0.0031686440328136433,0.005387262889177452
2010,Japan,22055,28,0.0012695533892541375,0.0008785452705193284,0.0018342653243800361
2010,Mexico,1482,7,0.004723346828609987,0.0022898539662287287,0.009717792418100064
2010,Netherlands,8208,29,0.003533138401559454,0.002461204178675463,0.005069562109349683
2010,New Zealand,1645,4,0.0024316109422492403,0.000945999808249685,0.006235684493383251
2010,Norway,2121,3,0.0014144271570014145,0.0004811468790267882,0.004150473414261457
2010,Poland,2635,4,0.0015180265654648956,0.0005904843113665001,0.0038968860007499795
2010,Portugal,1863,13,0.006977992485238862,0.004082529562079823,0.011902469420932543
2010,Russia,1566,2,0.001277139208173691,0.000350307532045035,0.004644756636144811
2010,Saudi Arabia,765,6,0.00784313725490196,0.0035993942598852476,0.017004930128387108
2010,Singapore,2015,9,0.004466501240694789,0.00235163040695176,0.008467177937440378
2010,South Africa,1166,5,0.004288164665523156,0.0018329965202456798,0.00999891345039903
2010,South Korea,10643,19,0.0017852109367659495,0.001143215750828774,0.002786725253977803
2010,Spain,9644,32,0.0033181252592285357,0.0023514582217985342,0.004680317653692141
2010,Sweden,4794,15,0.0031289111389236545,0.0018971263061259842,0.005156349535281317
2010,Switzerland,4734,21,0.004435994930291508,0.0029033200043108867,0.006772279996053967
2010,Taiwan,4759,8,0.0016810254255095608,0.0008520551077046638,0.0033138317882255184
2010,Turkey,3829,5,0.0013058239749281796,0.0005578948916600812,0.0030533838344244894
2010,UNKNOWN,32119,164,0.005106012017808774,0.004383532969033,0.005946856366110106
2010,United Arab Emirates,134,1,0.007462686567164179,0.001318564353840538,0.041059533430896106
2010,United Kingdom,26333,159,0.0060380511145710705,0.005171709739583773,0.007048489836128959
2010,United States,110241,662,0.0060050253535435996,0.0055658574697874325,0.006478619543830271
2011,Australia,11467,67,0.005842853405424261,0.0046038267383619776,0.007412855674653036
2011,Austria,3298,16,0.004851425106124924,0.0029884866357205095,0.007866504213384487
2011,Belgium,4750,37,0.007789473684210527,0.005656674102123371,0.010717758973733683
2011,Brazil,9444,32,0.0033883947479881405,0.002401276595940854,0.00477935393394129
2011,Canada,17167,97,0.005650375720859789,0.004634388126343926,0.006887555005864226
2011,China,41181,92,0.0022340399698890265,0.0018221376783917399,0.002738799116970465
2011,Czechia,1874,5,0.0026680896478121665,0.0011401702930089385,0.006230770824345409
2011,Denmark,4299,15,0.0034891835310537334,0.0021156807697984724,0.005749228766043282
2011,Finland,2854,8,0.002803083391730904,0.0014210533132243434,0.00552175968273584
2011,France,16094,79,0.004908661613023487,0.003940725335100701,0.006112887084595126
2011,Germany,26055,99,0.0037996545768566492,0.003122237030301224,0.004623366669681091
2011,Greece,3134,11,0.0035098915124441607,0.001961025202806009,0.006274400060013423
2011,Hong Kong,816,10,0.012254901960784314,0.006670025878151492,0.02241054642541195
2011,India,13984,117,0.008366704805491992,0.006986221392476767,0.01001722117018625
2011,Iran,3905,14,0.003585147247119078,0.002136844074391602,0.006009165211516033
2011,Ireland,2336,9,0.003852739726027397,0.0020282786595988834,0.007306310544450205
2011,Israel,3779,31,0.008203228367292934,0.005785211274848401,0.011620080365690054
2011,Italy,17744,68,0.003832281334535618,0.0030243398623527647,0.004855010375542942
2011,Japan,28018,39,0.0013919623099436077,0.0010184694831417403,0.0019021615161080299
2011,Mexico,2053,7,0.0034096444227959084,0.0016526116441369716,0.007021590611064391
2011,Netherlands,11202,40,0.0035707909301910374,0.0026235239778803353,0.004858418286678316
2011,New Zealand,2155,6,0.0027842227378190253,0.0012766397256317795,0.006061304779727038
2011,Norway,2881,6,0.0020826102047900035,0.0009548176127673481,0.004536457747359381
2011,Poland,3658,4,0.0010934937124111536,0.0004253179480311537,0.0028084263180321017
2011,Portugal,2504,11,0.00439297124600639,0.0024547579543313216,0.007849505391265492
2011,Russia,1868,3,0.0016059957173447537,0.0005463304596478912,0.004711304354624512
2011,Saudi Arabia,1056,2,0.001893939393939394,0.0005195402371961345,0.006879169027696624
2011,Singapore,2529,15,0.005931198102016607,0.0035977160074122222,0.009763348777294399
