pub_year,country_primary,n_docs,n_pos,prevalence,prev_lo95,prev_hi95
2010,Australia,8556,4,0.0004675081813931744,0.00018181934788044716,0.0012015542668833883
2010,Austria,2271,1,0.00044033465433729633,7.773410822973386e-05,0.0024901190483249255
2010,Belgium,3523,5,0.001419244961680386,0.0006063642110865129,0.0033182405612874723
2010,Brazil,6998,1,0.00014289797084881395,2.5225446082047904e-05,0.0008090492022442498
2010,Canada,13367,9,0.0006732999177077878,0.0003542750903917398,0.001279239067109948
2010,China,28369,6,0.00021149846663611689,9.693513467638612e-05,0.00046139663634788165
2010,Czechia,1463,2,0.001367053998632946,0.00037497560132347674,0.004970836499596055
2010,Denmark,3013,3,0.0009956853634251576,0.00033867936254890684,0.0029234936601399367
2010,Finland,2211,4,0.0018091361374943465,0.0007037556491610625,0.0046426580968590165
2010,France,12509,5,0.00039971220721080823,0.00017074486576257666,0.0009354354423829283
2010,Germany,19998,11,0.00055005500550055,0.00030717930253773866,0.0009847746844937003
2010,Greece,2338,0,0.0,0.0,0.0016403581917234524
2010,Hong Kong,592,1,0.0016891891891891893,0.0002982456286232801,0.009505467648152896
2010,India,9426,5,0.0005304476978569913,0.0002265961611824859,0.0012412396323606596
2010,Iran,2381,4,0.0016799664006719867,0.0006534940423604401,0.00431180827444419
2010,Ireland,1605,0,0.0,2.168404344971009e-19,0.002387717447006851
2010,Israel,2995,4,0.001335559265442404,0.0005194916667925827,0.003429186175400124
2010,Italy,13068,12,0.0009182736455463728,0.0005253858106945991,0.001604494582087177
2010,Japan,22055,1,4.534119247336205e-05,8.003878660053514e-06,0.00025680870597177884
2010,Mexico,1482,0,0.0,0.0,0.002585375981999503
2010,Netherlands,8208,6,0.0007309941520467836,0.0003350628798257342,0.0015940365676164869
2010,New Zealand,1645,1,0.0006079027355623101,0.00010731782094067373,0.003435447791510707
2010,Norway,2121,1,0.0004714757190004715,8.323189021146055e-05,0.0026658950135605448
2010,Poland,2635,0,0.0,0.0,0.0014557368756859248
2010,Portugal,1863,0,0.0,0.0,0.0020577316850038355
2010,Russia,1566,1,0.0006385696040868455,0.00011273211015819565,0.003608318055686183
2010,Saudi Arabia,765,2,0.00261437908496732,0.0007172500660721746,0.009481808180242916
2010,Singapore,2015,0,0.0,0.0,0.001902803612393671
2010,South Africa,1166,1,0.0008576329331046312,0.00015140931742806943,0.004841967158203802
2010,South Korea,10643,2,0.0001879169407122052,5.1535115844422177e-05,0.0006849705277328694
2010,Spain,9644,0,0.0,0.0,0.00039816769762339015
2010,Sweden,4794,2,0.00041718815185648727,0.00011441549505098326,0.0015199567300415795
2010,Switzerland,4734,4,0.0008449514152936206,0.00032863262619617654,0.0021707036060553786
2010,Taiwan,4759,2,0.0004202563563773902,0.00011525701748194396,0.0015311254809679865
2010,Turkey,3829,0,0.0,0.0,0.0010022482959355387
2010,UNKNOWN,32119,33,0.0010274292474859118,0.000731711110848768,0.0014424881706882075
2010,United Arab Emirates,134,0,0.0,0.0,0.027868675023899322
2010,United Kingdom,26333,16,0.0006076026278813656,0.00037405133056883985,0.0009868354286400993
2010,United States,110241,121,0.0010975952685479994,0.0009187506965148644,0.001311208143895118
2011,Australia,11467,5,0.0004360338362256911,0.00018626151829210635,0.0010204031253073836
2011,Austria,3298,1,0.00030321406913280777,5.352673396061963e-05,0.0017156250843645693
2011,Belgium,4750,4,0.0008421052631578948,0.0003275254935548316,0.002163398724946912
2011,Brazil,9444,1,0.00010588733587462939,1.8691959383938057e-05,0.0005995930580091535
2011,Canada,17167,16,0.0009320207374614085,0.0005737963529469141,0.0015135479922122625
2011,China,41181,9,0.0002185473883587091,0.00011498611579925896,0.0004153415010384227
2011,Czechia,1874,0,0.0,0.0,0.002045677925923845
2011,Denmark,4299,3,0.0006978367062107466,0.00023735519791937877,0.002049844763984733
2011,Finland,2854,2,0.000700770847932726,0.0001921976826928509,0.00255164200669634
2011,France,16094,10,0.0006213495712687958,0.000337549952506252,0.0011434845626914591
2011,Germany,26055,3,0.00011514104778353483,3.9159102017448914e-05,0.00033850384344564946
2011,Greece,3134,2,0.0006381620931716656,0.00017502451194281623,0.0023239732620368827
2011,Hong Kong,816,2,0.0024509803921568627,0.0006724047539523118,0.008892199153702856
2011,India,13984,8,0.0005720823798627002,0.0002899158926924913,0.0011285630684185637
2011,Iran,3905,3,0.0007682458386683739,0.0002613065384898313,0.0022564366149158627
2011,Ireland,2336,1,0.0004280821917808219,7.557101562612428e-05,0.0024209480535069975
2011,Israel,3779,9,0.0023815824292140776,0.00125348456159109,0.004520338914347874
2011,Italy,17744,6,0.00033814247069431923,0.00015498264960293445,0.0007376024491230239
2011,Japan,28018,8,0.0002855307302448426,0.00014469237897963522,0.0005633788179062655
2011,Mexico,2053,0,0.0,0.0,0.0018676494506760161
2011,Netherlands,11202,6,0.0005356186395286556,0.0002455012150514442,0.0011681774345090046
2011,New Zealand,2155,2,0.0009280742459396752,0.0002545483385702114,0.003377704872361574
2011,Norway,2881,2,0.0006942034015966678,0.0001903962594662844,0.002527763103058846
2011,Poland,3658,2,0.0005467468562055768,0.00014995051556646955,0.0019914471688705537
2011,Portugal,2504,0,0.0,0.0,0.0015317789755739028
2011,Russia,1868,1,0.0005353319057815846,9.450547762724628e-05,0.00302619622131599
2011,Saudi Arabia,1056,0,0.0,0.0,0.003624559870462692
2011,Singapore,2529,2,0.0007908264136022143,0.00021689992294783036,0.0028790138751250876
2011,South Africa,1606,1,0.0006226650062266501,0.00010992412049513423,0.003518668489471157
