pub_year,std_prev,std_lo95,std_hi95,L_star,target
2010,0.015691852575544982,0.01568556672912578,0.015698140900785567,250,any
2011,0.01614593296398195,0.01613993023882459,0.016151937885007777,250,any
2012,0.016612931456680316,0.016607213399338735,0.016618651449544518,250,any
2013,0.017093202554960416,0.017087764705623665,0.0170986421046837,250,any
2014,0.017587109726356773,0.017581939405860246,0.01759228154006269,250,any
2015,0.01809502558631517,0.01809009911793943,0.018099953371583086,250,any
2016,0.01861733208078696,0.01861261157077742,0.018622053765289692,250,any
2017,0.01915442066951949,0.01914985081377325,0.01915899159449921,250,any
2018,0.01970669250982579,0.01970219840115542,0.0197111876229985,250,any
2019,0.020274558640599613,0.02027004594043985,0.020279072324622276,250,any
2020,0.020858440166323797,0.02085379867656973,0.020863082667135494,250,any
2021,0.021458768440801197,0.02145387871056288,0.021463659261053418,250,any
2022,0.022075985250317665,0.022070726179976533,0.022081245545508322,250,any
2023,0.022710542995925793,0.022704797978766515,0.022716289432963256,250,any
2024,0.023362904874516893,0.023356565178320618,0.02336924625032806,250,any
2025,0.02403354505832534,0.024026510650948473,0.024040581474483468,250,any
